,Portfolio,NAME,WEIGHT,FUND_SDG01_ACHIEVE_SIGNAL,FUND_SDG02_ACHIEVE_SIGNAL,FUND_SDG03_ACHIEVE_SIGNAL,FUND_SDG04_ACHIEVE_SIGNAL,FUND_SDG05_ACHIEVE_SIGNAL,FUND_SDG06_ACHIEVE_SIGNAL,FUND_SDG07_ACHIEVE_SIGNAL,FUND_SDG08_ACHIEVE_SIGNAL,FUND_SDG09_ACHIEVE_SIGNAL,FUND_SDG10_ACHIEVE_SIGNAL,FUND_SDG11_ACHIEVE_SIGNAL,FUND_SDG12_ACHIEVE_SIGNAL,FUND_SDG13_ACHIEVE_SIGNAL,FUND_SDG14_ACHIEVE_SIGNAL,FUND_SDG15_ACHIEVE_SIGNAL,FUND_SDG16_ACHIEVE_SIGNAL,FUND_SDG17_ACHIEVE_SIGNAL
6,Defensive,Vanguard Developed Markets Index Fund;ETF,0.0552,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
7,Defensive,iShares JPMorgan USD Emerging Markets Bond ETF,0.0936,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
8,Defensive,iShares MSCI All Country Asia ex Japan ETF,0.0197,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
9,Defensive,Lyxor Core US TIPS (DR) UCITS ETF - Dist,0.1725,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
10,Defensive,CASH,0.015,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
0,Future World,iShares Global Clean Energy ETF,0.1586,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
1,Future World,ARK Next Generation Internet ETF,0.1615,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
2,Future World,ARK Genomic Revolution ETF,0.045,Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
3,Future World,ETFMG Prime Cyber Security ETF,0.2443,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
4,Future World,Global X FinTech ETF,0.0798,Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned
5,Future World,iShares Automation & Robotics UCITS ETF USD A,0.2958,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned
6,Future World,CASH,0.015,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
0,Gen Z Winners,ARK Next Generation Internet ETF,0.0552,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
1,Gen Z Winners,ETFMG Prime Mobile Payments ETF,0.1862,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
2,Gen Z Winners,Amplify Online Retail ETF,0.1743,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
3,Gen Z Winners,O'Shares Global Internet Giants ETF,0.2738,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
4,Gen Z Winners,VanEck Video Gaming and eSports ETF,0.2955,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
5,Gen Z Winners,CASH,0.015,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
0,Growth,Invesco QQQ Trust Series 1,0.1822,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
1,Growth,Vanguard Total Stock Market Index Fund;ETF,0.2167,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
2,Growth,iShares Gold Trust,0.0985,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,Growth,Vanguard Intermediate-Term Bond Index Fund;ETF,0.0344,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
4,Growth,Vanguard Long-Term Bond Index Fund;ETF,0.069,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
5,Growth,Vanguard Developed Markets Index Fund;ETF,0.1872,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
6,Growth,iShares JPMorgan USD Emerging Markets Bond ETF,0.0818,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
7,Growth,iShares MSCI All Country Asia ex Japan ETF,0.0541,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
8,Growth,Lyxor Core US TIPS (DR) UCITS ETF - Dist,0.0611,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
9,Growth,CASH,0.015,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
0,Impact Investing,iShares MSCI USA ESG Select ETF,0.3605,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
1,Impact Investing,Invesco Water Resources ETF,0.2472,Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Aligned,Not Aligned
2,Impact Investing,iShares Global Clean Energy ETF,0.1537,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
3,Impact Investing,Xtrackers MSCI Europe Hedged Equity ETF,0.1074,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
4,Impact Investing,iShares ESG Aware MSCI EAFE ETF,0.1162,Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned
5,Impact Investing,CASH,0.015,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
